Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,RoundID,MatchID,Home Team Initials,Away Team Initials
1994,05 Jul 1994- 16:30,Round of 16,Giants Stadium,New York/New Jersey,Mexico,1,1,Bulgaria,Bulgaria win on penalties (1 - 3) ,71030.0,0,0,338,3092,Mex,Bul
1994,09 Jul 1994- 12:00,Quarter-finals,Foxboro Stadium,Boston,Italy,2,1,Spain, ,53400.0,1,0,796,3097,Ita,Esp
1994,09 Jul 1994- 14:30,Quarter-finals,Cotton Bowl,Dallas,Netherlands,2,3,Brazil, ,63500.0,0,0,796,3098,Ned,Bra
1994,10 Jul 1994- 12:00,Quarter-finals,Giants Stadium,New York/New Jersey,Bulgaria,2,1,Germany, ,72000.0,0,0,796,3096,Bul,Ger
1994,10 Jul 1994- 12:30,Quarter-finals,Stanford Stadium,San Francisco,Romania,2,2,Sweden,Sweden win on penalties (4 - 5) ,83500.0,0,0,796,3095,Rou,Swe
1994,13 Jul 1994- 16:00,Semi-finals,Giants Stadium,New York/New Jersey,Bulgaria,1,2,Italy, ,74110.0,1,2,3461,3100,Bul,Ita
1994,13 Jul 1994- 16:30,Semi-finals,Rose Bowl,Los Angeles,Sweden,0,1,Brazil, ,91856.0,0,0,3461,3099,Swe,Bra
1994,16 Jul 1994- 12:30,Match for third place,Rose Bowl,Los Angeles,Sweden,4,0,Bulgaria, ,91500.0,4,0,3460,3103,Swe,Bul
1994,17 Jul 1994- 12:30,Final,Rose Bowl,Los Angeles,Brazil,0,0,Italy,Brazil win on penalties (3 - 2) ,94194.0,0,0,3459,3104,Bra,Ita
1998,10 Jun 1998- 17:30,Group A,Stade de France,Saint-Denis,Brazil,2,1,Scotland, ,80000.0,1,1,1014,4000,Bra,Sco
1998,10 Jun 1998- 21:00,Group A,La Mosson,Montpellier,Morocco,2,2,Norway, ,29800.0,1,1,1014,8725,Mar,Nor
1998,11 Jun 1998- 17:30,Group B,Stade du Parc Lescure,Bordeaux,Italy,2,2,Chile, ,31800.0,1,1,1014,8726,Ita,Chi
1998,11 Jun 1998- 21:00,Group B,Stade Municipal,Toulouse,Cameroon,1,1,Austria, ,33500.0,0,0,1014,8727,Cmr,Aut
1998,12 Jun 1998- 14:30,Group D,La Mosson,Montpellier,Paraguay,0,0,Bulgaria, ,29800.0,0,0,1014,8728,Par,Bul
1998,12 Jun 1998- 17:30,Group C,Stade Felix Bollaert,Lens,Saudi Arabia,0,1,Denmark, ,38100.0,0,0,1014,8729,Ksa,Den
1998,12 Jun 1998- 21:00,Group C,Stade Vélodrome,Marseilles,France,3,0,South Africa, ,55000.0,1,0,1014,8730,Fra,Rsa
1998,13 Jun 1998- 14:30,Group D,La Beaujoire,Nantes,Spain,2,3,Nigeria, ,35500.0,1,1,1014,8731,Esp,Nga
1998,13 Jun 1998- 17:30,Group E,Stade de Gerland,Lyon,Korea Republic,1,3,Mexico, ,39100.0,1,0,1014,8732,Kor,Mex
1998,13 Jun 1998- 21:00,Group E,Stade de France,Saint-Denis,Netherlands,0,0,Belgium, ,77000.0,0,0,1014,8733,Ned,Bel
1998,14 Jun 1998- 14:30,Group H,Stade Municipal,Toulouse,Argentina,1,0,Japan, ,33500.0,1,0,1014,8734,Arg,Jpn
