RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name
338,3088,Rou,Iordanescu Anghel (Rou),N,9,Florin Raducioiu
338,3088,Arg,Basile Alfio (Arg),N,2,Sergio Vazquez
338,3088,Rou,Iordanescu Anghel (Rou),N,12,Stelea
338,3088,Arg,Basile Alfio (Arg),N,7,Claudio Caniggia
338,3088,Rou,Iordanescu Anghel (Rou),N,15,Nica Panduru
338,3088,Arg,Basile Alfio (Arg),N,10,Diego Maradona
338,3088,Rou,Iordanescu Anghel (Rou),N,16,Ion Vladoiu
338,3088,Arg,Basile Alfio (Arg),N,11,Ramon Medina Bello
338,3088,Rou,Iordanescu Anghel (Rou),N,17,Viorel Moldovan
338,3088,Arg,Basile Alfio (Arg),N,15,Jorge Borelli
338,3088,Rou,Iordanescu Anghel (Rou),N,18,Constantin Galca
338,3088,Arg,Basile Alfio (Arg),N,16,Hernan Diaz
338,3088,Rou,Iordanescu Anghel (Rou),N,19,Corneliu Papura
338,3088,Arg,Basile Alfio (Arg),N,18,Hugo Perez
338,3088,Rou,Iordanescu Anghel (Rou),N,20,Ovidiu Stanga
338,3088,Arg,Basile Alfio (Arg),N,20,Leonardo Rodriguez
338,3088,Rou,Iordanescu Anghel (Rou),N,21,Marian Ivan
338,3088,Arg,Basile Alfio (Arg),N,21,Alejandro Mancuso
338,3088,Rou,Iordanescu Anghel (Rou),N,22,Stefan Preda
338,3088,Arg,Basile Alfio (Arg),N,22,Norberto Scoponi
338,3089,Ned,Dick Advocaat (Ned),S,1,De Goeij
338,3089,Irl,Charlton Jack (Eng),S,1,Pat Bonner
338,3089,Ned,Dick Advocaat (Ned),S,2,F. De Boer
338,3089,Irl,Charlton Jack (Eng),S,3,Terry Phelan
338,3089,Ned,Dick Advocaat (Ned),S,3,Frank Rijkaard
338,3089,Irl,Charlton Jack (Eng),S,5,Paul Mcgrath
338,3089,Ned,Dick Advocaat (Ned),S,4,Ronald Koeman
338,3089,Irl,Charlton Jack (Eng),S,6,Roy Keane
338,3089,Ned,Dick Advocaat (Ned),S,5,Rob Witschge
338,3089,Irl,Charlton Jack (Eng),S,7,Andy Townsend
338,3089,Ned,Dick Advocaat (Ned),S,7,Overmars
338,3089,Irl,Charlton Jack (Eng),S,8,Ray Houghton
338,3089,Ned,Dick Advocaat (Ned),S,8,Jonk
338,3089,Irl,Charlton Jack (Eng),S,10,John Sheridan
338,3089,Ned,Dick Advocaat (Ned),S,10,Bergkamp
338,3089,Irl,Charlton Jack (Eng),S,11,Steve Staunton
338,3089,Ned,Dick Advocaat (Ned),S,18,Stan Valckx
338,3089,Irl,Charlton Jack (Eng),S,12,Gary Kelly
338,3089,Ned,Dick Advocaat (Ned),S,19,Peter Van Vossen
338,3089,Irl,Charlton Jack (Eng),S,14,Phil Babb
338,3089,Ned,Dick Advocaat (Ned),S,20,Winter
338,3089,Irl,Charlton Jack (Eng),S,15,Tommy Coyne
338,3089,Ned,Dick Advocaat (Ned),N,6,Jan Wouters
338,3089,Irl,Charlton Jack (Eng),N,2,Denis Irwin
338,3089,Ned,Dick Advocaat (Ned),N,9,R. De Boer
338,3089,Irl,Charlton Jack (Eng),N,4,Kevin Moran
338,3089,Ned,Dick Advocaat (Ned),N,11,Bryan Roy
338,3089,Irl,Charlton Jack (Eng),N,9,John Aldridge
338,3089,Ned,Dick Advocaat (Ned),N,12,John Bosman
338,3089,Irl,Charlton Jack (Eng),N,13,Alan Kernaghan
338,3089,Ned,Dick Advocaat (Ned),N,13,Edwin Van Der Sar
338,3089,Irl,Charlton Jack (Eng),N,16,Tony Cascarino
338,3089,Ned,Dick Advocaat (Ned),N,14,Ulrich Van Gobbel
338,3089,Irl,Charlton Jack (Eng),N,17,Eddie Mcgoldrick
338,3089,Ned,Dick Advocaat (Ned),N,15,Danny Blind
